epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7468,1.29135,2.18328,1.351,0.22527,0.30133,0.17604,0.10209,1.18442,2.92359,1.43043,0.00036873,0.00036873,0.00036873
2,88.0972,1.38856,1.86595,1.40924,0.20466,0.37374,0.19123,0.11721,1.2167,3.19752,1.40267,0.000738342,0.000738342,0.000738342
3,129.661,1.42715,1.80995,1.42464,0.15635,0.31335,0.13494,0.09154,1.23764,2.96491,1.42589,0.00110507,0.00110507,0.00110507
4,172.837,1.40576,1.80129,1.41876,0.29186,0.38155,0.30697,0.21785,1.1006,2.45205,1.28402,0.00110126,0.00110126,0.00110126
5,215.11,1.3804,1.72396,1.38747,0.20263,0.40603,0.26686,0.18112,1.09761,2.22159,1.31549,0.00109372,0.00109372,0.00109372
6,256.562,1.33924,1.65754,1.37493,0.42963,0.37529,0.30674,0.2191,1.03849,2.31756,1.23916,0.00108408,0.00108408,0.00108408
7,299.249,1.33568,1.61614,1.38459,0.38219,0.41058,0.31612,0.236,1.04495,2.12691,1.27031,0.00107238,0.00107238,0.00107238
